link_row,node1,node2,ours_text,baseline_run1,baseline_run2,baseline_run3
25,US-10383765-B2,US-2022183779-A1,"A surgical apparatus comprises a surgical tool system for generating an image of a surgical instrument and a surgical tool system for manipulating a surgical instrument. The surgical tool system includes a method for determining the relative position of a surgical instrument and a surgical tool system. In addition, the method may be configured to allow a user to rotate the surgical instrument from one end to the other. The method may be configured to allow a user to remove a portion of the surgical instrument from the surgical tool system by means of a first-axis rotation and a third-axis rotation.","A robotic-assisted surgical system is provided that integrates a globally registered coordinate framework with a multi-blade, torque-transferring retractor assembly for ophthalmic or microsurgical procedures. The system includes an overhead imaging assembly and tool-based sensors that generate a computer-registered three-dimensional model of the patient’s eye and surrounding anatomy, and define virtual boundaries within the coordinate system. A retractor instrument having first and second blades rotatably coupled to a clevis and linked via a torque-transferring tension member is tracked and controlled within this coordinate system so that blade orientation and opening are robotically actuated while respecting the virtual boundaries. In some embodiments, the system dynamically adjusts blade positions based on real-time imaging and kinematic data to optimize exposure while preventing inadvertent tissue contact or injury.","A robotic-assisted surgical system for ophthalmic procedures integrates a coordinated multi-blade retractor mechanism with a globally registered ocular coordinate system. The system includes a robotic manipulator, an overhead optical coherence tomography assembly, and a tool-mounted sensor to generate and maintain a three-dimensional model of the patient’s eye within a global reference frame. A clevis-mounted, multi-blade retractor is controlled by the robotic manipulator, wherein controlled torque applied to a first blade induces sequential or simultaneous rotation of one or more coupled blades to expose target ocular regions while respecting a virtual boundary defined in the coordinate system. The virtual boundary constrains motion of the retractor blades to prevent inadvertent injury to ocular tissues during automated or semi-automated retraction maneuvers.","A robotic-assisted surgical system for controlled tissue retraction and instrument guidance is provided. The system includes a robotic manipulator having a multi-blade retractor assembly with a clevis, first and second blades, and a tension member configured to selectively transfer torque between the blades to achieve coordinated multi-stage retraction. A global coordinate system is established using robotic kinematics and optical coherence tomography data from both an overhead imaging assembly and a tool-based sensor, thereby generating a computer-registered three-dimensional model of the surgical site. The system further defines virtual boundaries within the global coordinate system to constrain retractor blade motion and prevent inadvertent injury to adjacent anatomical structures."
26,US-10383765-B2,US-2022101745-A1,"One or more methods of executing a surgical system are described, including the manipulation of a virtual object by a computer-aided robotic device to generate an anatomical image of a surgical scene. The system generates an image of the surgical scene based on the user's perception of the location and orientation of the surgical scene. In addition, the system provides a method for identifying and synchronizing a set of data from a sensor in the operating room to a set of data from a camera in the operating room.","A system and method are provided for virtual-reality-based planning, simulation, and execution of robotically assisted ophthalmic surgery within a unified global coordinate system. A virtual reality environment presents a three-dimensional, computer-registered model of a patient’s eye derived from robotic kinematics and optical coherence tomographic imaging, and displays virtual robotic components constrained within one or more virtual safety boundaries. User inputs to manipulate the virtual robotic components are processed via a client-server architecture to generate actuation commands that are mapped into the real robotic system operating in the same global coordinate frame. The system thereby enables pre-operative rehearsal, intra-operative guidance, and real-time enforcement of virtual boundaries to reduce the risk of inadvertent tissue injury.","A system and method are provided for virtual-reality-assisted robotic eye surgery that integrates a global surgical coordinate framework with a networked virtual robotic environment. A three-dimensional, computer-registered model of the patient’s eye is generated using robotic kinematics data and optical coherence tomography acquired from an overhead imaging assembly and tool-mounted sensors, and a virtual safety boundary is defined within this model. A virtual reality client application renders a corresponding virtual robotic surgical environment including virtual representations of robotic components, the eye model, and the virtual boundary, and receives user input to manipulate the virtual robotic components. A server application generates robotic actuation commands based on the user input, the status information of the virtual components, and the global coordinate system, and transmits the commands for execution and synchronized update of both the physical robot and the virtual environment.","A system and method are provided for virtual-reality-based planning, simulation, and execution of robot-assisted ocular surgery within a unified global coordinate framework. A global coordinate system for a patient’s eye is established using robotic kinematic data and optical coherence tomographic images from an overhead optical assembly and a tool-based sensor, thereby generating a computer-registered three-dimensional eye model including optional virtual safety boundaries. A virtual reality environment is generated that includes virtual representations of the patient’s eye, the robotic components, and the virtual safety boundaries, and user inputs in the virtual environment are processed by a client-server architecture to generate actuation commands. The actuation commands are then used to control movement of corresponding physical or virtual robotic components in accordance with the global coordinate system, enabling accurate rehearsal, guidance, and/or execution of the surgical procedure while enforcing the virtual boundaries."
27,US-2017258526-A1,US-2019275323-A1,"A method of the present invention relates to providing an electrically actuated device for a surgical procedure to be implanted in a patient's body. The device includes at least one implantable imaging system, a display device, and an input/output device. The display device and the input/output device are configured to monitor the patient's physiological characteristics, such as sensitivity, temperature, and focal length, by a combination of a signal processing device and a signal processing device.","A surgical system is provided that integrates an optical head-mounted display (HMD) with an electrical stimulation unit for real-time, visually guided medical procedures. The HMD presents augmented reality overlays indicating target anatomy and planned stimulation sites, while the stimulation system delivers capacitive discharge pulses through electrodes to elicit observable tissue responses. Sensor feedback from the stimulated anatomy is processed and rendered on the HMD as visual cues, enabling the clinician to confirm anatomical function and adjust electrode placement or stimulation parameters during the procedure. Methods of use include guiding nerve identification, mapping, or functional verification under direct visual and augmented feedback.","A system and method are provided for visually guided functional localization of anatomical structures during surgery using an optical head mounted display in combination with an electrical stimulation system. The system includes a head mounted display configured to present real-time surgical field imagery overlaid with graphical indicators corresponding to stimulation parameters and observed tissue responses, and a stimulator having at least one electrode powered to deliver capacitive discharge voltage to tissue proximate a target anatomy. The head mounted display is further configured to register and track the stimulation site in three-dimensional space, correlating induced observable responses with anatomical landmarks to guide surgical decision-making. In some embodiments, the system dynamically updates visual guidance cues based on the measured or observed response to electrical stimulation to optimize precision in tissue identification, dissection, or preservation.","A system and method are provided for performing surgical or interventional procedures using an optical head mounted display integrated with an electrical stimulation system. The head mounted display presents real-time visual guidance including anatomical overlays, stimulator parameters, and induced tissue responses during delivery of capacitive discharge stimulation through at least one electrode to tissue proximate a target anatomy. The system correlates observed physiological responses to stimulation with preoperative and intraoperative imaging data to assist in identifying or confirming target anatomical structures. In some embodiments, user inputs and feedback from the observable responses dynamically adjust stimulation parameters and visual guidance to optimize precision and safety of the procedure."
28,US-2017258526-A1,WO-2013132501-A1,"This invention relates to a surgical imaging device comprising a method for displaying an image of a patient during a surgical procedure, a technique for manipulating an image of a patient, and an endoscope for guiding the image of a patient to a desired location. In addition, the apparatus may be accessed from a computer-based system comprising a positional camera, a positional camera, a positional camera, a positional camera, a positional camera, a positional camera and a positional camera.","A system and method are provided for visually guided surgical manipulation of an endoscope using an optical head-mounted display. The system comprises an endoscope providing real-time images of a field of view within a body cavity, a maneuvering system defining its own coordinate axes, and control means for receiving user movement commands via the head-mounted display interface. A data processing unit transforms the user commands into control signals that maneuver the endoscope relative to the field-of-view axes (x_FOV, y_FOV, z_FOV), independently of the maneuvering system axes, while simultaneously overlaying visual guidance, targeting cues, and contextual information within the surgeon’s display. This configuration enables intuitive, coordinate-aligned endoscope control and augmented visual feedback during minimally invasive procedures.","A system and method are disclosed for image-guided endoscopic surgery utilizing an optical head mounted display (HMD) integrated with an actively maneuvered endoscope. The system comprises an endoscope providing real-time images of an internal field of view (FOV), a maneuvering system for orienting the endoscope with respect to the FOV axes, and a head mounted display for presenting said images and related surgical guidance information to the user. A control interface and data processing unit receive user movement commands, including head and hand gestures detected via the HMD, and drive the maneuvering system to reposition the endoscope relative to the FOV axes independently of the mechanical axes of the maneuvering system. The system thereby enables intuitive, visually guided control of the endoscope and surgical tools based on the surgeon’s viewing perspective, improving precision and ergonomics during minimally invasive procedures.","A system and method are disclosed for robotically assisted, visually guided endoscopic surgery utilizing an optical head-mounted display. An endoscope provides real-time images of an internal field of view (FOV), and a maneuvering system is configured to adjust endoscope position based on user control inputs interpreted in the FOV coordinate axes (x_FOV, y_FOV, z_FOV) independently of the mechanical axes of the maneuvering system. The head-mounted display overlays visual guidance cues, including FOV-aligned directional indicators and target markers, directly onto the surgeon’s view of the endoscopic images. A data processing unit maps user gestures or interface commands captured via the head-mounted display to FOV-referenced motion commands for the endoscope, thereby enabling intuitive, image-based control of the endoscopic viewpoint during surgical procedures."
29,US-2013211792-A1,US-9655683-B2,"A method for providing guidance to a user of a virtual anatomical implant device involves generating a virtual anatomical representation of a target anatomical position in relation to a computer-generated haptic parameter. The haptic parameter is mapped to a virtual anatomical representation of a target anatomical position in relation to a computer-generated haptic parameter. One or more of the methods described in the present invention are applied to a virtual anatomical implant device, allowing the user to adjust the positioning of the device and adjusting the orientation.","A computer-implemented system for patient-specific haptic guidance of a surgical instrument is provided. The system comprises generating a virtual haptic boundary by determining an intersection between a reference feature of a virtual implant model and a virtual anatomical model of a patient. A current orientation angle of an instrument axis relative to a target axis associated with the reference feature is determined, and the haptic boundary is dynamically adjusted based on the determined orientation angle. The haptic boundary is configured to both conform to the patient-specific anatomical-implant interface and constrain the instrument axis from deviating beyond a permitted orientation envelope during a surgical procedure.","A computer-implemented method for patient-specific haptic guidance of a surgical instrument comprises generating a virtual anatomical model from patient imaging data and registering a virtual implant model thereto. The method further comprises identifying at least one reference feature on the virtual implant model, determining its intersection with the virtual anatomical model, and defining a customized three-dimensional haptic boundary based on the intersection. The method also comprises tracking a current orientation and position of an instrument axis relative to a target implant axis and dynamically constraining movement of the instrument via the customized haptic boundary. The haptic boundary thereby limits deviation from both the patient-specific anatomical constraints and the desired implant orientation during instrument manipulation.","A computer-implemented method for patient-specific haptic guidance of a surgical instrument comprises generating a virtual model of a patient anatomy and a corresponding virtual implant model, and identifying one or more reference features of the implant model. The method further comprises determining an intersection between the identified reference features and the virtual anatomy model to define a customized virtual haptic boundary for the instrument within the patient-specific anatomy. A current orientation angle of an instrument axis relative to a target implant axis is then determined, and the customized haptic boundary is dynamically adjusted based on the determined orientation angle. The haptic boundary constrains the instrument from deviating beyond patient-specific and orientation-based limits, thereby guiding implant placement along an anatomically and procedurally optimal trajectory."
30,US-11484368-B2,US-2019133791-A1,A computer-based surgical method is disclosed for obtaining a bone plan for a prosthetic implant in a patient's arthroscopic surgery. The method includes tools for manipulating the articular surface of a prosthetic implant and adjusting the relative positioning of the articular surface of a prosthetic implant. The method also includes a tool system for determining the alignment of the articular surface of a prosthetic implant and adjusting the relative positioning of the articular surface of a prosthetic implant. These components may be used in the preparation of a surgery.,"A system and method for intraoperatively planning and executing robotic revision arthroplasty without pre-operative medical imaging. Positions of a tracked probe are captured as the probe contacts an interface area between bone and a primary implant component to generate a virtual boundary defining implant removal and bone preparation regions. A robotic guidance station tracks movement of the patient anatomy and surgical tools and controls tool motion relative to the virtual boundary and additional virtual objects defined, at least in part, by intraoperatively acquired bone density data. The system constrains implant removal and subsequent bone resection so that revised implant components are seated in higher-density bone regions while preserving critical bone stock.","A system and method for robotic revision arthroplasty that intraoperatively plans and executes removal of a primary implant and preparation for a replacement implant without reliance on pre-operative medical imaging. Positions of a tracked probe are captured as the probe contacts an interface area between bone and an existing implant to generate a virtual boundary for controlled removal of the implant using a constrained cutting tool. Following implant removal, a guidance station tracks patient anatomy and surgical tools to define and control virtual cutting boundaries for preparation of the bone to receive a new implant. Virtual cutting boundaries and implant seating locations are determined based on intraoperatively derived bone density characteristics such that distal portions of the replacement implant are seated in a higher-density bone region relative to adjacent lower-density regions.","A system and method for robotic-assisted revision arthroplasty are provided, in which intraoperative mapping of an implant-bone interface is combined with density-based virtual planning of new implant placement. A guidance station tracks a probe as it contacts the interface between bone and a primary implant component to generate, without pre-operative imaging, a virtual removal boundary that constrains operation of a cutting tool for explantation. Concurrently, the system acquires or infers bone density data to define virtual target regions of higher-density bone for seating a revision implant, and generates virtual cutting and preparation boundaries for those regions. The guidance station controls the cutting and preparation tools relative to both the virtual removal boundary and the density-based virtual placement boundaries to facilitate optimized removal of the primary implant and preparation of the bone for a revision implant."
31,US-2015057756-A1,US-2008056433-A1,"A method is disclosed for creating bone-based orthopaedic implants for the proximal part of the femur joint. In addition, the method includes a system of repositioning a bone-based orthopaedic implant into the proximal part of the femur joint. The methods are characterized by a first and second scan of the articular surface of the bone and a second and third scan of the articular surface of the bone. In addition, measurements of the articular surface of the bone are used to guide the procedure","A system and method for patient-specific hip arthroplasty planning and intraoperative optimization is disclosed. The method includes determining the frontal pelvic plane of a patient’s pelvic bone by ascertaining a position of a pubic point, acquiring at least one x-ray image, determining a straight line passing through the pubic point and a pelvic contour, and rear-projecting the straight line to locate the frontal pelvic plane. Using this patient-specific pelvic reference, the system generates and selects patient-adapted implant components and surgical tools, and intraoperatively measures joint kinematics relative to the frontal pelvic plane. The system further optimizes implant positioning and orientation in real time based on the measured kinematics and pelvic plane data to improve joint function and stability.","A system and method for patient-specific hip arthroplasty planning and intraoperative kinematic optimization is disclosed. The method includes determining a frontal pelvic plane of a patient’s pelvic bone by ascertaining a position of a pubic point, generating at least one x‑ray image, identifying a straight line passing through the pubic point and a pelvic contour, and computing the frontal pelvic plane from a rear‑projection of the straight line. Using the determined frontal pelvic plane, patient-adapted implant components and surgical tools are virtually planned and manufactured, and intraoperative measurement devices are calibrated to this anatomical reference. During surgery, joint kinematics are continuously measured relative to the frontal pelvic plane to guide real-time adjustment of implant position and orientation for optimized postoperative function.","Systems and methods are provided for patient-specific hip arthroplasty planning and intraoperative optimization using radiographic determination of the frontal pelvic plane. A position of a pubic point of the pelvic bone is ascertained and at least one x-ray recording of the pelvis is generated to determine the frontal pelvic plane by rear-projection of a straight line passing through the pubic point and a pelvic contour. Patient-adapted acetabular and femoral implant components and associated surgical tools are then configured and aligned relative to the determined frontal pelvic plane, enabling preoperative and intraoperative optimization of joint kinematics. Intraoperative measurement of implant position and joint motion is used to iteratively adjust component placement in real time to achieve desired biomechanical and stability parameters."
32,US-2015057756-A1,US-10813715-B1,"The disclosed methods include a device for generating an orthopaedic representation of a patient's body during an arthroplasty procedure. In addition, the disclosed methods include a system for generating an orthopaedic representation of a patient's body during an arthroplasty procedure. In particular, a series of computer-aided devices are incorporated into a device for the purpose of measuring, adjusting, and prioritizing the orientation of two or more articular planes of a patient's body, based on three-dimensional imaging data.","Systems and methods are disclosed for patient-specific orthopedic implant planning using 2D camera-based 3D body reconstruction. A single 2D image of a patient’s limb or joint is captured in a non-controlled environment, and camera pose is determined via inertial sensing to generate an accurate 3D anatomical model with automatic segmentation of relevant skeletal and soft-tissue structures. The resulting 3D morphology is used to design, simulate, and optimize patient-adapted implant components and associated surgical tools, including preoperative kinematic analysis and intraoperative guidance data. In some embodiments, the 3D anatomical and implant models are shared via a network service to enable remote surgical planning, manufacturing of customized implants, and postoperative kinematic assessment.","Systems and methods are disclosed for patient-specific joint arthroplasty planning and implantation using 3D body modeling derived from 2D imaging. A single 2D camera image of the patient, acquired in a non-controlled environment, is processed with accelerometer-based camera pose data and automated image segmentation to construct a 3D anatomical model including joint morphology and limb alignment. The 3D model is used to design or select patient-adapted implant components and to plan component positioning, which is then refined intraoperatively via kinematic measurements and optimization. In some embodiments, the 3D model and planned implant configuration are shared via a network for remote surgical planning, implant manufacture, and postoperative outcome analysis.","Systems and methods are provided for planning and performing joint arthroplasty using a patient-specific 3D body and limb model reconstructed from 2D camera images captured in an unconstrained environment. A mobile device acquires one or more 2D images and motion data from an onboard accelerometer to generate a 3D skeletal and soft-tissue model, including joint morphology and alignment parameters, which are transmitted to a surgical planning platform. Patient-adapted implant components and surgical tools are automatically designed and virtually positioned on the 3D model, with simulated joint kinematics used to optimize implant selection, orientation, and sizing. In some embodiments, the 3D patient model and proposed implant configuration are shared via a secure cloud service for remote surgical planning, preoperative fitting, and postoperative assessment."
33,US-2017258526-A1,US-2021093393-A1,"A surgical method relating to the present invention includes a device for displaying a virtual anatomical representation of a patient in the operating room, a surgical tool for determining the anatomical position of a surgical implant, and a surgical tool for determining the anatomical orientation of a surgical implant. One or more data acquisition systems are accessed from a user interface. The data acquisition system is augmented by a guiding lens, which is augmented by a guiding lens, which is augmented by a guiding lens and a guiding lens.","A system and method for navigated hip surgery using an optical head-mounted display is disclosed. Pre-operative images of the pelvis and femur are processed to generate three-dimensional models, which are intra-operatively registered using probe-acquired anatomical data to produce aligned pelvis and femur models. An optimal target location and corresponding entry vector cone for guide wire or implant insertion are computed and overlaid in real time within the surgeon’s field of view via the head-mounted display. The display provides dynamic visual guidance, including virtual trajectory lines and alignment cues, to assist the surgeon in accurately advancing instruments along the planned vector cone to the target location.","A system and method for hip joint surgery using an optical head-mounted display with integrated navigation is disclosed. Pre-operative images of the pelvis and femur are processed to generate three-dimensional models which are registered intra-operatively using tracked probes to create aligned bone models and an entry vector cone for guide wire insertion. The head-mounted display presents augmented reality guidance by overlaying the target location, entry vector cone, and real-time instrument position onto the surgeon’s field of view. The system thereby enables visually guided, navigated access to the hip joint with improved accuracy and reduced reliance on external monitors.","A system and method are provided for computer-assisted hip surgery using an optical head mounted display (HMD) for real-time visual guidance. Pre-operative images of a patient’s hip joint are processed to generate three-dimensional models of the pelvis and femur, which are intraoperatively aligned with probe-acquired models to define a target location and an associated entry vector cone for surgical access. The HMD displays an augmented reality overlay of the aligned models, target location, and entry vector cone superimposed on the surgeon’s field of view, thereby guiding insertion of a navigated guide wire and subsequent surgical instruments. The system may further provide dynamic updates of trajectory, depth, and alignment based on continuous tracking of the patient anatomy, instruments, and HMD."
34,US-2010153076-A1,US-2004116835-A1,"An apparatus of the invention includes a method for determining a bone alignment relative to a proximal articular joint, a method for generating a bone alignment relative to a distal articular joint, and a method for generating a bone alignment relative to a proximal articular joint. The first and second components of the device, including a loading plate, are inserted into the insertion space to provide a repositioning force to be applied to the insertion space by means of a compression device.","A computer-implemented system and apparatus for planning and intraoperatively guiding spinal implant placement using cartilage-modeled regions and a distractor arm assembly is disclosed. The system acquires measurements of spinal cartilage and bony landmarks at a plurality of control points along adjacent vertebrae, generates enlarged projected areas representing cartilage, and constructs a three-dimensional representation of the spinal segment including said cartilage areas. A distractor arm assembly having segments pivotal with respect to each other and driven by a centrally positioned jackscrew via a pivotal collar assembly is coupled to the vertebrae and manipulated to induce controlled distraction and measure spinal instability parameters. The system dynamically updates the implant planning model based on the measured instability and cartilage-based geometry to optimize the position, orientation, and sizing of spinal implants.","A computer-assisted surgical system for planning and intraoperatively assessing spinal implant placement integrates cartilage-based anatomical modeling with mechanically actuated spinal instability measurement. Preoperative imaging data are processed to determine control points and generate projected cartilage-representative areas along vertebral joint surfaces, defining a virtual anatomical framework for spinal implant components. Intraoperatively, a distractor arm assembly having pivotal segments and a pivotal collar movable along a centrally positioned jackscrew is used to apply controlled distraction and measure segmental spinal motion and instability relative to the modeled cartilage areas. The system dynamically updates implant positioning recommendations based on the combined virtual cartilage representations and real-time spinal instability measurements.","Systems and methods are disclosed for planning and executing spinal implant placement using cartilage-based area modeling and a mechanically guided distractor arm assembly. A three-dimensional representation of vertebral bone structures and associated cartilage regions is generated by defining control points and projecting areas representing intervertebral cartilage surfaces at targeted spinal levels. A distractor arm assembly including pivotal segments and a pivotal collar movable along a centrally positioned jackscrew is configured and controlled based on the modeled cartilage areas to achieve a desired distraction profile and alignment. A representation of one or more spinal implant components is then positioned relative to the adjusted vertebral geometry, wherein implant placement parameters are derived from the combined cartilage area model and measured spinal instability obtained via the distractor arm assembly."
35,US-10537388-B2,US-2022160440-A1,"A method of generating a robotic surgical system based on a computer-aided visualization of the patient's anatomy is disclosed. The method includes techniques for adjusting the orthopaedic positioning of a surgical implant in relation to the orthopaedic features of the implant. In addition, a series of tools may be used to obtain a 3-dimensional model of a surgical procedure, such as arthroplasty, arthroplasty, and arthroplasty, to be performed within the patient's own joint space.","Systems and methods are provided for robot-assisted, image-free revision arthroplasty planning and execution. A pre-operative revision plan is generated by creating a parametric 3D model of a target bone from predefined anatomical parameters and iteratively reshaping the model based on intraoperatively collected surface points. A surgical robotic arm with onboard control and fiducial-marked tools is registered to the reshaped 3D model via an external vision system, enabling real-time positioning and guidance of cutting, drilling, or milling instruments according to the revision plan. The system can update the 3D model and tool trajectories dynamically as additional bone surface data are acquired, improving accuracy of implant removal and placement without pre-operative imaging.","Systems and methods are disclosed for image-free robotic-assisted orthopedic implant revision surgery. A pre-operative revision plan is generated by constructing a patient-specific 3D bone model from predefined anatomical parameters and intraoperatively reshaping the model using surface points acquired from the exposed bone. A vision-guided surgical robotic arm with onboard control and fiducial registration positions and orients cutting, drilling, or reaming tools according to the updated 3D revision plan without requiring preoperative imaging. The robotic arm operates under processor and/or manual control to execute bone resections and implant site preparations based on the dynamically refined model, thereby improving accuracy and workflow in revision arthroplasty.","Systems and methods are disclosed for robot-assisted, image-free orthopedic revision surgery integrating intraoperative bone modeling with vision-guided tool positioning. A plurality of surface points of a target bone are collected by a vision system tracking fiducials on a multi-degree-of-freedom surgical robotic arm, and a reshaped 3D bone model is generated in real time from predefined anatomical parameters and the collected surface data. A revision plan is automatically computed on the updated 3D model and executed by the robotic arm, which positions and orients cutting, drilling, or reaming tools within the surgical field under processor control. The system enables dynamic adjustment of the revision plan based on ongoing surface acquisition and tool feedback to improve implant fit and alignment without preoperative imaging."
36,US-2007270685-A1,US-10575913-B2,"A method for actuating a surgical instrument comprises a computer-generated image of a surgical tool and a method for determining the relative position of a surgical instrument at a given surgical location. The method includes a method for generating a first-person feedback signal from a surgical tool and a method for determining the position of a surgical instrument at a given surgical location. In addition, the data collected by the system may be correlated with the data stored in the system, which may be used to calibrate and modify the data stored in the system at various surgical locations.","A surgical robotic system and method are provided for task-specific, calibrated control of an end effector. The method includes calibrating the surgical device by determining a position and/or an orientation of a first object relative to a second location on the device and determining a position and/or an orientation of a second object relative to the second location based at least in part on the first data, the second data, and the third data. A processing circuit generates a plurality of virtual geometries, each associated with a respective calibrated configuration and surgical task, and tracks a calibrated position of the end effector relative to the virtual geometries. In response to the end effector reaching a location corresponding to a selected virtual geometry, the processing circuit controls the robotic device to facilitate completion of the associated surgical task with improved positional accuracy.","A system and method for task-aware calibration and control of a robotic surgical device is provided. The method includes calibrating a surgical end effector by determining a position and/or orientation of multiple reference objects disposed at different locations on the end effector and establishing their relative spatial relationships using calibration data. Based on the calibrated geometry, the system generates a plurality of virtual geometries, each associated with a respective surgical task, and tracks the pose of the end effector relative to the virtual geometries. The system further controls the robotic device to automatically facilitate completion of a selected surgical task when the end effector reaches a location corresponding to a respective virtual geometry, using the calibration data to maintain task accuracy despite changes in instrument configuration or positioning.","A system for task-adaptive calibration and control of a robotic surgical device is provided. The system includes a robotic arm, an end effector, multiple fiducial objects disposed at different locations on the surgical device, and a processing circuit. The processing circuit is configured to calibrate positions and orientations of the fiducial objects relative to one another and to the end effector based on multi-point tracking data, and to register the calibrated geometry to a plurality of virtual geometries each associated with a respective surgical task. The processing circuit is further configured to track the calibrated end effector within the virtual geometries and, upon determining that the end effector is at a location corresponding to a selected virtual geometry, automatically control the robotic device to facilitate completion of a corresponding task-specific surgical operation."
37,US-2018049895-A1,US-2009198240-A1,"A device is provided for insertion into the proximal and distal portions of the femur bone and tibia during a knee joint alignment procedure. The device includes a guide for measuring the force exerted on the proximal and distal portions of the femur bone and tibia bone. The guide can be rotated in a fixed position, thereby reducing the stress on the femur bone. An alternative method of adjusting the first and second articulating tips of the guide for insertion into the femur.","A system and method are provided for intraoperative knee joint balancing that integrates adjustable joint distraction with quantitative force and gap measurement. The system includes a femoral-tibial spreader having opposing jaws configured to contact respective cut surfaces of the femur and tibia, an integrated adjustable height mechanism to vary the joint gap, and a force-sensing module coupled to a movable sensor platform. A radial or digital gauge is operatively connected to the force-sensing module to simultaneously display total distraction force and compartment-specific medial and lateral loads as the gap is adjusted. The system enables real-time assessment and controlled balancing of soft tissue tension during knee replacement surgery, facilitating optimization of implant alignment and ligament balance.","A system and method are provided for dynamically balancing a knee joint during replacement surgery using an integrated force-spreading and measurement assembly. The system includes a femoral-tibial spreader having opposing forward ends configured to engage cut distal femoral and proximal tibial surfaces, a height-adjustable sensor platform disposed between the bones, and a radial gauge and electronic force sensors cooperatively measuring separation distance and medial/lateral ligament forces. Actuation of handle members spreads the joint while simultaneously adjusting the collective height of the sensor platform, enabling controlled distraction and gap balancing. Real-time force and displacement data are displayed to guide intraoperative adjustment of soft tissues and implant positioning to achieve desired knee alignment and balance.","Systems and methods are provided for dynamically balancing a knee joint during replacement surgery using a force-sensing femoral-tibial spreader with adjustable height. The system can include opposing femoral and tibial engagement members, a moveable sensor platform coupled to a multi-axis force sensor, and a handle-driven spreading mechanism with an integrated radial gauge indicating both distraction distance and ligamentous load. An adjustment mechanism can vary the collective height of the sensor platform while the gauge and force sensor concurrently measure and display medial and lateral compartment forces throughout a range of flexion. Methods include inserting the device into the joint space, actuating the handles to distract the femur and tibia, adjusting the platform height, and using the combined gauge and force data to guide soft-tissue releases and implant positioning for optimal knee balance."
38,US-8118815-B2,US-2009198240-A1,A device for insertion into the proximal and distal portions of the femur bone (tibia) is provided. The device includes a guide sleeve that can be used to measure the amount of pressure exerted on the proximal and distal portions of the femur bone during arthroscopic surgery. The guide sleeve includes a pivoting mechanism for adjusting the alignment of a joint. A second pivoting mechanism for adjusting the alignment of a joint is provided herein by means of a crossmember.,"A system and method for ligament-balanced joint replacement are provided. The system includes a surgical orientation device with a reference sensor configured to determine the orientation of a joint axis and cutting planes, and a femoral-tibial spreader having an integrated radial measurement gauge configured to quantify ligament tension between adjacent bones. The orientation data and force measurements are processed to dynamically adjust the position and orientation of orthopedic cutting fixtures and implants to achieve desired joint alignment and soft-tissue balance. The system can guide intraoperative modification of bone cuts and implant positioning in response to real-time ligament force feedback.","A system and method for ligament-balanced joint replacement are provided. The system includes a surgical orientation device and reference sensor for determining a bone axis and cutting plane orientation, and a force-measuring distractor configured to radially spread adjacent bones and quantify ligament tension during trial and final implantation. Data from the radial force gauge is correlated in real time with the cutting plane orientation to guide adjustment of bone resections, component positioning, and soft-tissue releases. The integrated system enables optimization of joint alignment and gap balance based on both geometric and load distribution parameters.","A system and method for ligament-balanced joint replacement are provided. The system includes a surgical orientation device and reference sensor for determining and adjusting the orientation of one or more cutting planes on a bony surface, in combination with a femoral-tibial spreader having an integrated force measurement gauge for quantifying ligament tension during distraction of adjacent bones. Real-time data from the orientation device and the force gauge are processed to guide positioning, alignment, and depth of bone cuts to achieve desired joint line and soft-tissue balance. The system may further provide feedback to the surgeon to iteratively adjust cutting planes and implant placement based on both geometric orientation and measured ligament forces."
