link_row,node1,node2,ours_text,baseline_text
33,US-2017258526-A1,US-2021093393-A1,"A surgical method relating to the present invention includes a device for displaying a virtual anatomical representation of a patient in the operating room, a surgical tool for determining the anatomical position of a surgical implant, and a surgical tool for determining the anatomical orientation of a surgical implant. One or more data acquisition systems are accessed from a user interface. The data acquisition system is augmented by a guiding lens, which is augmented by a guiding lens, which is augmented by a guiding lens and a guiding lens.","A system and method for enhanced surgical navigation in hip joint procedures utilizing augmented reality (AR) technology is disclosed. The system integrates real-time three-dimensional models of the pelvis and femur, generated from pre-operative imaging and intraoperative data, with a head-mounted optical display that provides visual guidance. Surgeons can visualize the anatomical structures and the entry vector cone directly overlaid in their field of view, allowing for precise alignment and placement of navigated guide wires during surgical interventions. This innovative approach aims to improve surgical accuracy, reduce operative time, and enhance overall patient outcomes in hip joint surgeries."
34,US-2010153076-A1,US-2004116835-A1,"An apparatus of the invention includes a method for determining a bone alignment relative to a proximal articular joint, a method for generating a bone alignment relative to a distal articular joint, and a method for generating a bone alignment relative to a proximal articular joint. The first and second components of the device, including a loading plate, are inserted into the insertion space to provide a repositioning force to be applied to the insertion space by means of a compression device.","A novel system and method for enhanced spinal implant planning and stability assessment is presented, integrating advanced cartilage representation techniques from PATENT A with a dynamic spinal instability measurement apparatus from PATENT B. This invention utilizes computer-based algorithms to analyze the spatial relationship between cartilage areas and spinal structures while simultaneously employing a distractor arm assembly to assess and quantify spinal instability during preoperative planning. The system allows for real-time adjustments of the implant positioning based on measured instability, improving surgical outcomes and patient safety. The combined approach enables more precise customization of spinal implants, tailored to the unique anatomical and biomechanical needs of each patient."
35,US-10537388-B2,US-2022160440-A1,"A method of generating a robotic surgical system based on a computer-aided visualization of the patient's anatomy is disclosed. The method includes techniques for adjusting the orthopaedic positioning of a surgical implant in relation to the orthopaedic features of the implant. In addition, a series of tools may be used to obtain a 3-dimensional model of a surgical procedure, such as arthroplasty, arthroplasty, and arthroplasty, to be performed within the patient's own joint space.","A hybrid surgical system integrates advanced imaging-free implant revision planning with a robotic arm that utilizes an external vision system for enhanced precision in orthopedic procedures. This system combines the generation of personalized 3D models of target bones with real-time positional feedback from the robotic arm, enabling automated tool manipulation for implant revisions. By utilizing fiducial markers for tool registration, the system ensures accurate alignment and execution of surgical tasks, facilitating minimally invasive techniques for knee and hip arthroplasty. This innovative approach aims to improve surgical outcomes through precise planning and execution, reducing recovery times and enhancing patient safety."
36,US-2007270685-A1,US-10575913-B2,"A method for actuating a surgical instrument comprises a computer-generated image of a surgical tool and a method for determining the relative position of a surgical instrument at a given surgical location. The method includes a method for generating a first-person feedback signal from a surgical tool and a method for determining the position of a surgical instrument at a given surgical location. In addition, the data collected by the system may be correlated with the data stored in the system, which may be used to calibrate and modify the data stored in the system at various surgical locations.","A surgical navigation system is proposed that integrates a method for calibrating surgical devices with a robotic surgical system utilizing virtual geometries. The system employs real-time data acquisition to simultaneously track the position and orientation of both the surgical device and the end effector, ensuring precise alignment with virtual geometries corresponding to specific surgical tasks. By harmonizing the calibration method from Patent A with the task-specific control capabilities of Patent B, the invention enhances surgical precision, reduces the risk of errors, and improves overall operational efficiency in robotic-assisted surgeries. This innovative approach allows for dynamic adjustments based on real-time data, facilitating seamless execution of complex surgical procedures."
37,US-2018049895-A1,US-2009198240-A1,"A device is provided for insertion into the proximal and distal portions of the femur bone and tibia during a knee joint alignment procedure. The device includes a guide for measuring the force exerted on the proximal and distal portions of the femur bone and tibia bone. The guide can be rotated in a fixed position, thereby reducing the stress on the femur bone. An alternative method of adjusting the first and second articulating tips of the guide for insertion into the femur.","A knee surgery assistance system is proposed that integrates a femoral tibial spreader with an advanced knee balancing mechanism for enhanced surgical precision. The system combines a radial measurement gauge to monitor forces applied to the femur and tibia with a force sensor that assesses medial and lateral forces within the knee joint. By synchronizing the operation of the spreader and the knee balancing system, surgeons can achieve optimal alignment and balance during knee replacement procedures. This dual-function device allows real-time adjustments and comprehensive force feedback, improving surgical outcomes and reducing the risk of complications."
38,US-8118815-B2,US-2009198240-A1,A device for insertion into the proximal and distal portions of the femur bone (tibia) is provided. The device includes a guide sleeve that can be used to measure the amount of pressure exerted on the proximal and distal portions of the femur bone during arthroscopic surgery. The guide sleeve includes a pivoting mechanism for adjusting the alignment of a joint. A second pivoting mechanism for adjusting the alignment of a joint is provided herein by means of a crossmember.,"A novel orthopedic surgical system is proposed that integrates an advanced surgical orientation device with an innovative femoral tibial spreader featuring a real-time force measurement gauge. This system enables precise alignment and adjustment of cutting planes during joint replacement surgeries while simultaneously providing accurate feedback on the force applied to adjacent bones, such as the femur and tibia. By combining the orientation capabilities of the surgical device with the force measurement technology of the spreader, surgeons can optimize both the positioning of implants and the management of ligament tension, ultimately enhancing the accuracy and effectiveness of knee surgeries. The system aims to streamline orthopedic procedures, reduce surgical risks, and improve patient outcomes."
39,US-2018177612-A1,US-2009198240-A1,"A bone alignment device is provided for inserting into the proximal and distal portions of the femur and tibia at the knee joint. The device includes a guide for measuring the pressure exerted by the insertion into the proximal and distal portions of the femur. The guide can be retracted to allow the insertion into the proximal or distal portions of the femur. A second instrument, having a pivotal sleeve, is used to provide a pivotal tool for removing.","A dual-function surgical apparatus is designed to enhance knee joint alignment and force measurement during orthopedic procedures. This device integrates a femoral tibial spreader with a built-in alignment mechanism that utilizes a distraction lock and M-L tilt adjustment to stabilize the femur and tibia while ensuring precise bone cuts for prosthetic installation. The apparatus features a radial measurement gauge that continuously monitors the force applied to the bones, allowing surgeons to make real-time adjustments based on the physiological response of the ligaments. By combining alignment capabilities with force measurement, this innovative tool optimizes surgical outcomes and minimizes the risk of alignment errors during knee surgeries."
40,US-2017189131-A1,US-2016007827-A1,A robotic surgical system comprises a tool for manipulating a surgical instrument and a device for controlling the movement of a surgical instrument relative to a surgical instrument. Methods are provided for identifying the surgical instrument at a first-hand location and the surgical instrument at a second-hand location. One or more actuators may be attached to the surgical instrument to provide an end-to-end transmission of a data path and a data orientation to the surgical instrument. The method of operation described herein may be configured to operate within a specified orientation.,"The prospective invention relates to an advanced robotic surgical system that integrates real-time 3D spatial tracking and intelligent movement control of multiple surgical instruments. This system employs a comprehensive movement database that not only tracks the spatial positions of surgical tools but also implements dynamic rules for allowed and restricted movements, enhancing surgical precision and safety. By utilizing insights from both patented technologies, the invention enables seamless coordination among multiple instruments, optimizing their interactions within the surgical environment. Additionally, the system incorporates operator input and environmental data to adaptively adjust tool movements, ensuring efficient and effective surgical procedures."
41,US-2017189131-A1,US-2014005684-A1,"A robotic surgical system comprises a method for manipulating a surgical instrument, a surgical tool, and an endoscope. The method may be coupled to an electrically operated surgical instrument, a surgical tool, and an endoscope. The method may be coupled to a patient-centered positioning assister. One or more of the robots in the invention are able to provide control over the movement of a surgical instrument in relation to a corresponding positioning assister, thereby minimizing the need for a surgical tool to be discarded during the procedure.","The prospective invention relates to an advanced robotic surgical system that integrates a multi-instrument control mechanism with an automated surgical platform, enabling synchronized execution of complex surgical tasks. This system leverages real-time imaging and tracking technologies to enhance precision and adaptability in unstructured surgical environments, allowing for simultaneous operation of multiple robotic instruments. Utilizing a sophisticated operating system, the invention automates subtasks while ensuring safe and efficient interactions among the robotic instruments, ultimately improving surgical outcomes through standardized procedures and enhanced maneuverability. The combination of these technologies facilitates a new paradigm in minimally invasive surgery, where collaborative robotic systems work seamlessly to augment the capabilities of surgical teams."
42,US-2017189131-A1,US-2011058033-A1,"A robotic surgical instrument system comprises a plurality of manipulators, including a first-generation manipulator and an endoscope. The manipulators are positioned relative to the endoscope, and a guide mechanism is provided to move the manipulator from one position to the other. An image acquisition device comprising a lattice-transistor motor coupled to a power supply is provided to operate the manipulator. The device is capable of detecting the position of an arm relative to a focal point, thereby minimizing the need for a cutting tool.","A novel robotic surgical imaging system that integrates a precision motion platform with a robotic surgical system is provided, enabling enhanced visualization and control during surgical procedures. This system allows for the simultaneous operation of multiple robotic surgical instruments while utilizing high-resolution imaging capabilities to capture real-time surgical fields without compromising clarity. The automated tracking and scanning features of the imaging device work in conjunction with the robotic control methods to adjust instrument positions dynamically, reducing motion blur and improving surgical accuracy. The combined functionality of these technologies facilitates more precise and efficient surgical interventions, ultimately enhancing patient outcomes."
43,US-7104997-B2,US-2017165006-A1,"A portion of the invention relates to a medical imaging device for dissection of the proximal femur. The device includes a trailing guide, a guide lens, and a tool for adjusting the orientation of a trailing guide lens within the body cavity. The device is equipped with a first-in-one orientation adjustment method, which allows the device to be inserted into a patient's body cavity. The device includes a sleeve containing an anchor point and a sleeve containing an anchor point and an anchor.","A novel surgical navigation system for knee arthroplasty that integrates advanced tracking technology with innovative cutting guide apparatus is disclosed. This system utilizes a cutting guide equipped with tracking devices that provide real-time feedback on the positioning of the cutting guide blocks relative to the patient's anatomy. By employing emitters and dome-shaped lenses, the tracking devices enhance visibility and precision during surgery, ensuring that all surgical cuts on the femur are accurately executed without the need for guide removal. The combined technology promises to improve surgical outcomes by minimizing errors and optimizing the alignment of prosthetic implants."
44,WO-2007030866-A1,US-2017086941-A1,"This invention comprises a bone anchorage device suitable for the insertion of a first-position guidepiece, a second-position guidepiece, and a third-position guidepiece. The invention comprises a mounting device comprising a disc positioned on the outer surface of the guidepiece. The disc positioned on the outer surface of the guidepiece is disposed on the inner surface of the guidepiece. The disc positioned on the outer surface of the guidepiece is disposed on the inner surface of the guidepiece, and the disc positioned on the inner surface of the guidepiece is removable.","The proposed invention integrates a surgical bone marker system that combines the precise guidance features of a bone marker device with an advanced light detection mechanism. This system includes a surgical marker capable of being affixed to bone, facilitating accurate bone resection around joints, while also incorporating a light generating element that can be selectively positioned or replaced during procedures. The marker features multiple openings allowing for real-time tracking by a surgical navigation system, enhancing the visibility and precision of the surgical operation. This dual-functionality improves surgical outcomes by providing both structural guidance and enhanced detection capabilities."
45,US-2011060341-A1,DE-202010000518-U1,"This invention provides a method for positioning an implantable device, comprising a first phase assembly comprising a first phase assembly comprising a first phase assembly comprising a first phase assembly comprising a first phase assembly comprising a second phase assembly comprising a second phase assembly comprising a second phase assembly comprising a second phase assembly comprising a second phase assembly comprising a second phase assembly comprising a second phase assembly comprising a second phase assembly comprising a second phase assembly comprising a second phase assembly comprising a second phase clamp.","The prospective invention integrates an advanced intraoperative navigation system with a novel lighting solution for surgical environments, enhancing visibility and precision during procedures. The system includes a compact alignment guide that utilizes adjustable components for optimal positioning of implant elements, while incorporating a hermetically sealed housing with a light-emitting diode for illumination. The alignment guide's ability to adjust in five degrees of freedom complements the lighting system, ensuring that surgical sites are well-lit and accurately aligned, thus improving surgical outcomes and safety. This invention aims to provide a synergistic solution that enhances both the accuracy of implant placement and the overall visibility in the surgical field."
46,US-5037423-A,DE-202005015080-U1,A surgical method for gauging the proximal portion of a femoral skeleton is incorporated. A laser beam is deposited onto the proximal femoral skeleton to generate a first-and second-generation photoreceptors that can be used to adjust the orientation of the femoral skeleton. The system includes a surgical tool for insertion of the implant and a conductive adhesive tape. The conductive adhesive tape is positioned in a fixed position relative to the conductive surface of the implant.,"A hybrid surgical system for knee joint revision procedures is disclosed, integrating advanced optical marking technology with a novel revision cutting jig. This system utilizes a multi-wavelength light spot detection mechanism to provide real-time feedback on the alignment and positioning of the revision femoral component during implantation. The integration of the marking system enhances the precision of the surgical process, ensuring optimal restoration of the anatomic joint plane and ligamentous balance. Additionally, the user-friendly interface allows surgeons to visualize the alignment parameters on a computer display, improving surgical outcomes and minimizing the risk of complications."
47,US-9005207-B2,DE-202005015080-U1,A surgical instrument system comprises a method for determining the orientation of a surgical tool relative to a patient's femoral bone and a method for generating and removing surgical guidepieces. The surgical tool comprises a series of electrodes that are positioned on a surgical surface to be surgically cut. The first electrode is equipped with a photosensitive coating to provide a visible light source. The second electrode is positioned at a pre-determined position relative to the surgical guidepiece and is not subjected to a pressure adjustment during the procedure.,"A novel surgical navigation system that integrates patient-specific surgical instruments with an advanced optical marking system is presented. This invention utilizes customized cutting guides designed to fit the unique anatomy of the patient's joint, leveraging real-time light spot alignment and detection for enhanced precision during orthopaedic arthroplasty procedures. By combining the data-driven positioning of cutting guides with a multi-wavelength light spot detection system, surgeons can achieve improved soft tissue balancing and optimal alignment of the surgical instruments, ultimately enhancing surgical outcomes and reducing recovery time."
48,US-5234433-A,US-2017086941-A1,"An alignment device comprises a proximal section of a femoral cross-section, a guide tube extending from the proximal end of the femoral cross-section, and a receptacle extending from the proximal end of the femoral cross-section. The guide tube is inserted into the proximal end of the femoral cross-section to provide a free-standing mounting point for the insertion of a cutting tool. A second mounting point (1) is provided to provide a fixed base.","A surgical navigation system for knee joint replacement procedures that integrates a light-based tracking marker with advanced cutting guides. The system includes a femoral and tibial cutting block equipped with a light generating element that is detectable through multiple openings in the blocks, allowing for real-time tracking and precise alignment during surgery. The marker can be easily replaced or adjusted during the operation, enhancing surgical accuracy and efficiency. This invention combines the sophisticated surgical techniques of unicompartmental knee prosthesis implantation with a dynamic tracking mechanism to improve the overall outcomes of knee joint surgeries."
49,US-5683397-A,DE-202005015080-U1,A surgical instrument system comprises a detector and a surgical cutting tool. The detector is positioned relative to a surgical eye and a surgical guide is positioned relative to a surgical eye. The surgical guide is positioned relative to a surgical eye and a surgical guide is positioned relative to a surgical eye. One end of the detector comprises a first-order rotational position adjustment mechanism for generating an electrical signal at least 20 nm from a beam of light. The rotational position adjustment mechanism allows the insertion of a second-order rotational position adjustment mechanism.,"A hybrid surgical navigation system integrates a distal femoral cutting block apparatus with an advanced surgical marking and alignment system. This invention utilizes the structural features of the cutting block from Patent A, which accommodates an intramedullary rod for precise positioning during knee surgery, while incorporating the light spot marking technology from Patent B. The system features integrated light spot lamps that project onto the cutting block, providing real-time visual feedback for alignment and accuracy in surgical procedures. A computer-controlled interface allows surgeons to dynamically adjust the cutting block's position based on the light spot detection, enhancing precision in knee surgeries and improving patient outcomes."
50,US-9005207-B2,DE-202010000518-U1,"An embodiment of the invention relates to a surgical instrument suitable for insertion into a pelvic joint. The instrument includes a first method of cutting the instrument, a second method of cutting the instrument, and a second method of adjusting the instrument. The instrument includes a guide shaft, which is positioned at the distal end of the instrument, and a fillet, which is positioned at the proximal end of the instrument. The fillet is provided with a flexible insulating material (including a conductive material) to provide a flexible surface.","A novel surgical lighting system for orthopedic procedures is presented, integrating patient-specific surgical instruments with advanced illumination technology. The system features a custom-designed light source housed within a hermetically sealed enclosure that provides optimal visibility during arthroplasty surgeries. The light source is configured to emit focused light in alignment with the unique cutting guides of the surgical instruments, enhancing precision and safety during the operation. Additionally, the enclosure design ensures durability and ease of sterilization, allowing for seamless integration into the surgical workflow while maintaining patient-specific adaptations."
51,US-2021393338-A1,US-2019289284-A1,"A medical imaging system of disclosed embodiments includes a device configured to generate an image based on a synchronized motion of a first-person viewfinder and a second-person viewfinder. At least one of the first-person viewfinders is configured to transmit the image to a manipulator. The manipulator is configured to receive signals from a plurality of manipulators. The manipulators are configured to provide a control mechanism for determining the orientation, intensity, and direction of the image at a given point in the system.","A mediated-reality surgical visualization system is proposed, integrating advanced medical instrument control with immersive light field rendering for head-mounted displays. This system utilizes image data from surgical instruments to create a comprehensive 3D visualization of the anatomical site, allowing surgeons to interact with both the physical instruments and virtual representations in real-time. By receiving directional input signals, the system dynamically adjusts the displayed light field to reflect the orientation and movement of the medical instruments, enhancing precision and situational awareness during procedures. The combination of these technologies aims to improve surgical outcomes through better visualization and instrument coordination."
52,US-2010158330-A1,US-2023270562-A1,"The present invention provides a method for performing at least one surgical procedure involving a robotically aligned surgical apparatus. The method includes a method for inserting a surgical apparatus into a patient's body cavity, and a method for extracting bone fragments from the surgical apparatus. The surgical apparatus comprises a plurality of components, each of which is supported by a semi-permanent screw system. The components of the surgical apparatus are configured to be coupled to a self-assembly and/or self-assembly elements.","A system for enhanced surgical navigation and execution that integrates advanced image processing with robotic surgical assistance. The invention utilizes pixel color feature analysis from real-time color medical imaging to identify and delineate physiologically significant regions within the surgical field. This information is then fed into a robotic system that autonomously coordinates the insertion of multiple surgical implant components, ensuring precise alignment and execution based on the visual feedback provided by the image processing methods. By combining spatial adaptive filtering techniques with synchronized robotic insertion, the system aims to improve surgical accuracy and patient outcomes during complex procedures."
53,US-10251714-B2,US-2023270562-A1,"An embodiment of the present invention includes a robotic surgical system for performing a variety of surgical procedures. The robotic surgical system comprises a robot-operated device, a robot-operated device, and a robot-operated device. The robot-operated device is connected to at least one end member of the surgical apparatus. The robot-operated device is shown to facilitate insertion of sutures into the surgical apparatus, and the robot-operated device is connected to the surgical apparatus by means of a movable axis, and the robot-operated device is connected to.","The prospective invention relates to an advanced robotic surgical system that integrates image processing capabilities with synchronous robotic insertion techniques for surgical implants. This system employs multiple robotic arms, each equipped with real-time imaging technology to capture and analyze non-visible properties of the surgical site during the procedure. By combining image data with coordinated movements of robotic arms, the invention enables precise and autonomous insertion of surgical components, optimizing surgical outcomes and reducing operative time. The system is designed to enhance surgeon oversight and ensure safety by providing continuous feedback on the insertion process through an intuitive display interface."
54,CN-102958426-A,US-2023270562-A1,"The invention provides a surgical technique for manipulating a portion of the body to be surgically implanted into a region of the body to be surgically implanted. A plurality of endoscopes are positioned at least perpendicular to the insertion device. The plurality of endoscopes are positioned at least perpendicular to the insertion device. In this embodiment, a resonant laser beam is generated from the insertion device, and the resonant laser beam is transmitted to the insertion device.","A novel minimally invasive surgical system that integrates advanced imaging and robotic technology for enhanced surgical precision is proposed. This system combines the fluorescence imaging capabilities of Patent A, which identifies clinical tissues by superimposing highlighted fluorescence images onto a black and white background, with the synchronous robotic surgical insertion methods from Patent B. The robotic system autonomously performs the insertion of surgical implants while utilizing real-time fluorescence imaging to guide the placement of components with high accuracy. This innovative approach aims to improve outcomes in complex surgeries by ensuring that surgical instruments are precisely aligned with the identified tissues of interest, enhancing both safety and efficacy."
